Timestamp,Emotion
287459090.1904,SHOCK
287459223.5238,SURPRISE
287459356.8571,DISCOMFORT
287459490.1904,SURPRISE
287459623.5238,SURPRISE or ANGER
287459756.8571,SHOCK
287459890.1904,SURPRISE
287460023.5238,DISCOMFORT
287460156.8571,SURPRISE
287460290.1904,SURPRISE or ANGER
287460423.5238,SHOCK
287460556.8571,DISCOMFORT
287460690.1904,SURPRISE
287460823.5238,SURPRISE or ANGER
287460956.8571,SHOCK
287461090.1904,SURPRISE
287461223.5238,DISCOMFORT
287461356.8571,SURPRISE
287461490.1904,SURPRISE or ANGER
287461623.5238,SHOCK
287461756.8571,SURPRISE
287461890.1904,DISCOMFORT
287462023.5238,SURPRISE
287462156.8571,SURPRISE or ANGER
287462290.1904,SHOCK
287462423.5238,SURPRISE
287462556.8571,SURPRISE
287462690.1904,SURPRISE or ANGER
287462823.5238,SHOCK
287462956.8571,SURPRISE
287463090.1904,DISCOMFORT
287463223.5238,SURPRISE
287463356.8571,SURPRISE or ANGER
287463490.1904,SHOCK
287463723.5238,SURPRISE
287463856.8571,DISCOMFORT
287463990.1904,SURPRISE
287464123.5238,SURPRISE or ANGER
287464256.8571,SHOCK
287464390.1904,SURPRISE
287464523.5238,DISCOMFORT
287464656.8571,SURPRISE
287464790.1904,SURPRISE or ANGER
287465023.5238,SHOCK
287465156.8571,SURPRISE
287465190.1904,SURPRISE or ANGER
287465223.5238,SHOCK
287465356.8571,SURPRISE
287465490.1904,SURPRISE or ANGER
287465623.5238,SHOCK
287465756.8571,DISCOMFORT
287465890.1904,SAD
287466023.5238,SURPRISE or ANGER
287466156.8571,SHOCK
287466290.1904,SURPRISE
287466423.5238,DISCOMFORT
287466556.8571,SAD
287466690.1904,SURPRISE or ANGER
287466823.5238,SHOCK
287466956.8571,SURPRISE
287467090.1904,DISCOMFORT
287467223.5238,SAD
287467356.8571,SURPRISE or ANGER
287467490.1904,SHOCK
287467723.5238,DISCOMFORT
287467856.8571,SAD
287467990.1904,SURPRISE or ANGER
287468123.5238,SHOCK
287468256.8571,SURPRISE
287468390.1904,SAD
287468523.5238,SURPRISE or ANGER
287468656.8571,SHOCK
287468690.1904,SAD
287468823.5238,SURPRISE or ANGER
287468956.8571,SHOCK
287469090.1904,SAD
287469223.5238,SURPRISE or ANGER
287469356.8571,SHOCK
287469490.1904,SURPRISE
287469523.5238,SAD
